Date,Temperature,Charge_Start,Charge_End,Daily_Cycles,Total_Cycles,SOH,Usage_Pattern,Charging_Pattern
2021-09-04,15.157374406208,20,80,0.231810632072589,0.231810632072589,99.9943490144301,0,0
2021-09-05,9.2692843873356,20,100,0.3893004568878854,0.6211110889604744,99.98588565229988,0,0
2021-09-06,11.597141097073054,20,80,0.3909588791221102,1.0120699680825846,99.9780527361757,0,0
2021-09-07,6.811303694318025,20,80,0.2544913956410226,1.2665613637236073,99.97317877504534,0,0
2021-09-08,7.22133131249687,20,80,0.3677872406576865,1.6343486043812938,99.96800061354784,0,0
2021-09-09,17.838036970588128,20,100,0.2650359338045882,1.899384538185882,99.96085459234595,0,0
2021-09-10,14.024863095381685,20,80,0.3662939611604487,2.265678499346331,99.95223672121163,0,0
2021-09-11,13.698523422373611,20,80,0.3782826301358201,2.643961129482151,99.94655542429923,0,0
2021-09-12,16.426911914148718,20,80,0.4365637657215163,3.0805248952036672,99.93961536304704,0,0
2021-09-13,4.474980427254824,20,80,0.2882864813434919,3.3688113765471592,99.93209804056158,0,0
2021-09-14,8.899580440519921,20,80,0.478714637293356,3.847526013840515,99.92439956185756,0,0
2021-09-15,8.802647896492248,20,80,0.2967431474266313,4.144269161267147,99.91632573126184,0,0
2021-09-16,18.398419133697644,20,80,0.3771536968588388,4.521422858125986,99.90929043835716,0,0
2021-09-17,3.779754397833892,20,80,0.3171187108780429,4.838541569004029,99.90511750664646,0,0
2021-09-18,8.2143634835437,20,80,0.3122931940965146,5.150834763100543,99.89674761323788,0,0
2021-09-19,45.672885849062915,20,80,0.49650450335528,5.647339266455823,99.88995480367812,0,0
2021-09-20,8.277054574960728,20,80,0.2447017904230198,5.892041056878843,99.88144378089834,0,0
2021-09-21,10.08656712293715,20,80,0.3181613877412441,6.210202444620087,99.87642901356652,0,0
2021-09-22,1.6483505519287345,20,80,0.3019653517234764,6.512167796343563,99.87073709534484,0,0
2021-09-23,1.3990206702204988,20,80,0.4140297832452649,6.926197579588829,99.86622418630031,0,0
2021-09-24,12.20112373371591,20,80,0.3986028321734463,7.324800411762275,99.86012752076742,0,0
2021-09-25,-11.767735490582172,20,80,0.3488221766834455,7.67362258844572,99.85415802824386,0,0
2021-09-26,17.41825591906434,20,80,0.2619349660173489,7.935557554463069,99.8470989133702,0,0
2021-09-27,8.6595119657439,20,80,0.3844609892140295,8.320018543677099,99.84114529496308,0,0
2021-09-28,-14.828296304210138,20,80,0.449519236048358,8.769537779725457,99.83565118261966,0,0
2021-09-29,42.02743943510315,20,80,0.3095534813782269,9.079091261103684,99.82971235923593,0,0
2021-09-30,10.0181717477033,20,80,0.4449677211437091,9.524058982247391,99.8215208921836,0,0
2021-10-01,17.322464569095516,20,100,0.2708795272612795,9.794938509508672,99.81553437263386,0,0
2021-10-02,18.45894479935954,20,80,0.2392302580706797,10.034168767579352,99.80736119463825,0,0
2021-10-03,13.172530120148483,20,80,0.2856819281678732,10.319850695747226,99.80199881783912,0,0
2021-10-04,1.874668499072072,20,80,0.2220180588481024,10.541868754595328,99.79713871760592,0,0
2021-10-05,18.424687452428607,20,100,0.2788778428164463,10.820746597411771,99.79051710877545,0,0
2021-10-06,13.154172443116703,20,80,0.266541607530911,11.087288204942684,99.7830993486196,0,0
2021-10-07,7.794026539855281,20,80,0.3508635741931722,11.438151779135856,99.77579139808424,0,0
2021-10-08,1.2684785634287898,20,80,0.4352104355295351,11.873362214665391,99.77084853367477,0,0
2021-10-09,8.462368871500969,20,80,0.4219820175148021,12.295344232180192,99.76644770459332,0,0
2021-10-10,11.018695323431675,20,80,0.2956735986645148,12.591017830844708,99.76109053431246,0,0
2021-10-11,3.831060476436896,20,80,0.4535261639130293,13.044543994757737,99.75635350875248,0,0
2021-10-12,2.397393333775697,20,80,0.224442949980441,13.268986944738176,99.7486390356792,0,0
2021-10-13,15.122011646888566,20,80,0.2185156409037584,13.487502585641936,99.74399598303404,0,0
2021-10-14,12.782372335982048,20,80,0.2147263652130926,13.702228950855028,99.7387742034688,0,0
2021-10-15,42.52332121155594,20,80,0.492046970102684,14.194275920957711,99.72963351298556,0,0
2021-10-16,10.120111174044146,20,100,0.2558014200053007,14.450077340963013,99.72504574899568,0,0
2021-10-17,-13.459371287021504,20,80,0.2107377334542421,14.660815074417254,99.71950115751964,0,0
2021-10-18,7.622343966212952,20,80,0.3711781170974635,15.031993191514715,99.7135140933583,0,0
2021-10-19,3.2327237855968938,20,100,0.4276659235859854,15.459659115100704,99.70540678974236,0,0
2021-10-20,11.047300709115795,20,80,0.3691006218386912,15.828759736939393,99.69931253923755,0,0
